year	num	seg	age	raw	std	res	ars
   1956	  47.	  66.979	  12.319	   1.927	   1.036	   1.024	   1.035
   1957	  54.	  65.704	  11.722	   1.958	   1.063	   1.042	   1.059
   1958	  55.	  65.527	  12.509	   2.213	   1.243	   1.237	   1.259
   1959	  58.	  64.983	  12.862	   2.064	   1.157	   1.028	   1.144
   1960	  63.	  64.095	  12.841	   1.977	   1.102	   1.041	   1.106
   1961	  63.	  64.095	  13.841	   1.929	   1.074	   1.015	   1.064
   1962	  63.	  64.095	  14.841	   1.534	   0.836	   0.802	   0.830
   1963	  65.	  63.692	  15.385	   1.605	   0.907	   0.976	   0.903
   1964	  67.	  63.284	  15.925	   1.447	   0.818	   0.878	   0.836
   1965	  69.	  62.899	  16.464	   1.487	   0.854	   0.943	   0.873
   1966	  69.	  62.899	  17.464	   1.561	   0.899	   0.967	   0.913
   1967	  72.	  62.236	  17.736	   1.729	   1.053	   1.103	   1.066
   1968	  73.	  62.014	  18.493	   1.559	   0.923	   0.901	   0.931
   1969	  76.	  61.329	  18.763	   1.585	   0.902	   0.930	   0.901
   1970	  79.	  60.671	  19.051	   1.377	   0.800	   0.826	   0.781
   1971	  80.	  60.450	  19.812	   1.506	   0.872	   0.964	   0.871
   1972	  80.	  60.450	  20.812	   1.602	   0.933	   0.987	   0.932
   1973	  82.	  59.976	  21.305	   2.268	   1.431	   1.493	   1.451
   1974	  86.	  59.070	  20.872	   1.819	   1.090	   0.921	   1.126
   1975	  86.	  59.070	  21.872	   1.784	   1.058	   1.004	   1.061
   1976	  86.	  59.070	  22.872	   1.792	   1.079	   1.051	   1.079
   1977	  86.	  59.070	  23.872	   2.030	   1.271	   1.220	   1.252
   1978	  86.	  59.070	  24.872	   1.821	   1.061	   0.960	   1.074
   1979	  85.	  59.494	  25.894	   1.570	   0.908	   0.872	   0.906
   1980	  84.	  59.679	  26.679	   1.609	   0.970	   0.992	   0.952
   1981	  84.	  59.679	  27.679	   1.558	   0.949	   0.972	   0.953
   1982	  84.	  59.679	  28.679	   0.540	   0.432	   0.508	   0.466
   1983	  84.	  59.679	  29.679	   1.138	   0.667	   0.970	   0.743
   1984	  84.	  59.679	  30.679	   1.415	   0.834	   1.014	   0.904
   1985	  84.	  59.679	  31.679	   1.544	   0.961	   1.039	   0.999
   1986	  84.	  59.679	  32.679	   1.784	   1.124	   1.147	   1.146
   1987	  84.	  59.679	  33.679	   1.974	   1.267	   1.202	   1.263
   1988	  84.	  59.679	  34.679	   2.066	   1.368	   1.240	   1.351
   1989	  84.	  59.679	  35.679	   1.749	   1.111	   0.957	   1.116
   1990	  84.	  59.679	  36.679	   1.807	   1.200	   1.136	   1.186
   1991	  84.	  59.679	  37.679	   1.687	   1.113	   1.022	   1.105
   1992	  84.	  59.679	  38.679	   1.515	   0.973	   0.920	   0.968
   1993	  83.	  59.952	  39.699	   1.296	   0.801	   0.800	   0.785
   1994	  83.	  59.952	  40.699	   1.441	   0.912	   0.992	   0.900
   1995	  83.	  59.952	  41.699	   1.372	   0.917	   0.941	   0.899
   1996	  83.	  59.952	  42.699	   1.497	   1.026	   1.053	   1.010
   1997	  83.	  59.952	  43.699	   1.295	   0.907	   0.890	   0.895
   1998	  83.	  59.952	  44.699	   1.517	   1.078	   1.133	   1.089
   1999	  83.	  59.952	  45.699	   1.310	   0.943	   0.908	   0.949
   2000	  83.	  59.952	  46.699	   1.613	   1.184	   1.214	   1.190
   2001	  83.	  59.952	  47.699	   1.248	   0.916	   0.846	   0.932
   2002	  83.	  59.952	  48.699	   1.602	   1.215	   1.271	   1.238
   2003	  83.	  59.952	  49.699	   1.122	   0.871	   0.805	   0.913
   2004	  83.	  59.952	  50.699	   1.078	   0.855	   0.906	   0.869
   2005	  83.	  59.952	  51.699	   1.132	   0.905	   0.972	   0.916
   2006	  83.	  59.952	  52.699	   1.303	   1.046	   1.091	   1.056
   2007	  83.	  59.952	  53.699	   1.095	   0.906	   0.895	   0.922
   2008	  83.	  59.952	  54.699	   1.081	   0.908	   0.942	   0.909
   2009	  83.	  59.952	  55.699	   0.999	   0.881	   0.920	   0.882
   2010	  83.	  59.952	  56.699	   1.036	   0.931	   0.972	   0.922
   2011	  83.	  59.952	  57.699	   1.290	   1.122	   1.167	   1.133
   2012	  83.	  59.952	  58.699	   1.369	   1.179	   1.134	   1.192
   2013	  80.	  60.287	  59.987	   0.781	   0.864	   0.812	   0.899
   2014	  24.	  71.375	  71.375	   1.504	   0.997	   0.900	   0.857
