Latitude,Longitude,Location,Name,Species,Trees,Cores
39.729126,-74.617549,RomanoPineBarrens,SouthernNJpitchPine_PIRI_RomanoPhilBst,PIRI,,
43.069875,-73.286652,Goose Egg,GE1_PIST,PIST,,
43.069875,-73.286652,Goose Egg,GE2_PIST,PIST,,
42.53,-72.18,outside HF_LyfordPlots,HF_PIST,PIST,,
35.5,-82.6,Bent Creek,BentCreekQUAL,QUAL,17,21
34.475663,-84.329251,Big Canoe,BigCanoeQUALxdate,QUAL,,
37.53643333,-79.49488333,Blue Ridge Parkway/Patty's Oaks update,BlueRidgeParkwayQUMOall,QUAL,12,24
43.06833333,-73.29,"Goose Egg Ridge, NY QUAL",GooseEggRidgeNY_QUAL,QUAL,20,33
37.67546667,-79.28803333,"Irish Creek, VA ",IrishCreekVA_QUAL,QUAL,16,27
36.875187,-83.360369,Blanton Forest,KY_BlantonForest_QUAL,QUAL,,
42.79146667,-73.85855,"Lisha Kill, NY QUAL",LishaKillNY_QUALphil,QUAL,20,25
39.262113,-80.997378,MurphyTract,MurphyTractWV_QUAL,QUAL,,
 41.557004,-71.26675,NewPort,NewportRI_QUAL,QUAL,,
39.88333333,-76.38975,"Otter Creek, PA ",OtterCreekPA_QUAL,QUAL,21,32
42.19942,-73.864775,RamsHornSwamp,RamsHornNorthSwampWhiteOak,QUAL,,
41.37607,-74.115522,Schunemunk,SchunnemunkNYQUALbst,QUAL,,
44.555753,-73.113145,Winooski,WinooskiVermontQUAL,QUAL,,
43.06266667,-73.29816667,"Goose Egg Ridge, NY QUPR",GooseEggRidgeNY_QUMO,QUPR,23,37
37.67486667,-79.28413333,"Irish Creek, VA ",IrishCreekVA_QUMO,QUPR,17,30
36.875187,-83.360369,Blanton Forest,KY_BlantonForest_QUMObest,QUPR,,
37.774235,-83.661336,RedRiverGorge_WhittletonRidge,KY_WhittletonRidge_QUMO,QUPR,,
42.60858333,-74.31815,"Middleburgh, Breglia Cliffs, NY ",MiddleburghNY_QUMOphil,QUPR,23,42
41.7638,-74.12465,"Mohonk, Lenape Lane, Mohonk Presever, NY ",MohonkQUMOallnov2010,QUPR,20,34
42.01136667,-73.92073333,"Montgomery Place, NY ",MontPlaceQUMOfinal,QUPR,21,34
43.22805,-70.6892,"Mt. Agamenticus, ME ",MountAgementicusQUMOphil,QUPR,20,34
32.77245,-84.90653333,"Callaway Gardens, GA",PineMtnQUMOxdatePederson,QUPR,20,34
41.705475,-74.251715,Palmaghatt5,PM5_QUMOJuly2012,QUPR,,
39.05811667,-77.32991667,"Potomac River, Dranesville, VA",PotomacRiverDranesvilleVA_QUMO,QUPR,20,34
43.119135,-76.386846,WhiskeyHollow,WhiskeyHollowQUMO,QUPR,,
44.555753,-73.113145,Winooski,WinooskiVTbstQUMO,QUPR,,
38.65,-79.3667,CEDAR/MOSER/BIBLE KNOBS,WV_CedarKnobQUMO,QUPR,,
41.5692833,-71.2840333,Aquidneck Rhode Island,AcquidneckOOO_QURU,QURU,,
42.27161667,-76.62676667,"Arnot Forest, NY",ArnotForestNY,QURU,20,40
41.383,-74.017,"Black Rock Blueberry Fields, Black Rock Forest",BlueBerrFieldsForeverRedOak,QURU,30,90
43.28858333,-76.38853333,"Curtiss-Gale Wildlife Preserve, Fulton, NY",CurtissGaleQURUbest,QURU,21,42
37.76943333,-79.24151667,Fiddler’s Green QURU,FiddlersGreenVA_QURU,QURU,20,30
43.9077167,-74.2180333,Goodnow Mtn,GoodnowMtnGAO_QURU,QURU,,
43.06833333,-73.29,"Goose Egg Ridge, NY – QURU ",GooseEggQURUphil2014bst,QURU,21,36
42.53,-72.18,HF_LyfordPlots,LF_QURU,QURU,,
41.383,-74.017,"Black Rock Lucky Streak Red, Black Rock Forest",LuckyStreakRedOak,QURU,30,90
42.0609,-72.3009,"Mohawk Trail St. Forest, MA – QURU ",MohawkTrailRedOak,QURU,20,40
42.01136667,-73.92073333,"Montgomery Place, NY ",MontPlaceQURUfinal,QURU,20,40
42.84417,-72.44976,NorthRoundPondPlot3,NRP_QURU,QURU,,
39.87846667,-76.38636667,"Otter Creek, PA",OtterCreekPA_QURU,QURU,20,30
42.47133333,-74.92581667,"Pine Lake, Oneonta, NY",PineLakeOneontaQURU,QURU,20,40
41.705475,-74.251715,Palmaghatt5,PM5_QURU_July2012,QURU,,
43.41826667,-73.75508333,"Prospect Mtn, ADKs",ProspectMtnQURU,QURU,23,33
43.23138,-74.52254,Rooster Hill,RoosterHillRH_QURU_Canopy,QURU,,
44.5284,-71.63805,Sheridan Mountain,SheridanMtnSSR_QURU,QURU,,
43.3496333,-78.6612333,Singer Farm,SingerFarmSFO_QURU,QURU,,
42.68245,-77.42996667,"Warren Cutler Boy Scout Res., Naples, NY",WarrenCutlerRezQURU,QURU,20,40
41.1170667,-74.4169833,UTTERTOWN,UttertownETR_QURU,QURU,,
42.49,-71.88,Wachusett Mtn,Wachusett_QURU,QURU,,
42.4230333,-78.8945,Zoar Lick,ZoarLickOZL_QURU,QURU,,
38.98926667,-77.2458,"Bear Island, MD",BearIslandMDpostOak,QUST,16,32
40.8754556,-73.7900333,"Bronx, Hunter Island, NY",BronxQUST,QUST,16,29
41.0415,-72.28453333,"Mashomack Preserve, Long Island, NY ",MashomackPostPhil,QUST,20,32
43.6844,-73.60246667,"Hague, Lake George, NY QUVE",LakeGeorgeQUVEphil,QUVE,20,36
41.78963333,-74.12561667,"Mohonk, Lenape Lane, Mohonk Presever, NY ",MohonkQUVE,QUVE,20,26
37.73076667,-79.22388333,"Mt_Pleasant, VA ",MountPleasantQUVE,QUVE,20,32
39.88103333,-76.39073333,"Otter Creek, PA",OtterCreekPA_QUVE,QUVE,20,32
41.33163333,-74.6579,"High Point, NJ",HighPtNJ_AtlanticWhiteCedarCHTHbst,CHTH,21,41
42.19942,-73.864775,RamsHornSwamp,RamsHornNorthWhiteCedar,THOC,,
37.153093,-84.269877,DanielBoone Angel Hollow,AngelHollowTSCAbest,TSCA,,
41.381244,-74.058853,Black Rock,BRFmineralSpringsHemi,TSCA,,
34.76,-84.3,FRICK CREEK,FrickCreekGA_TSCAxdate,TSCA,,
44.116701,-73.810459,GillBrookAusableClubLand,GillBrook_TSCA,TSCA,,
36.875187,-83.360369,Blanton Forest,KY_BlantonForestTSCA,TSCA,,
37.13,-84.27,DanielBoone London District,KY_DBLondonTSCA,TSCA,,
42.84417,-72.44976,NorthRoundPondPlot3,NRP3_TSCA,TSCA,,
42.831366,-72.439199,PisgahTract,PisgahTSCAall,TSCA,,
41.710008,-74.247273,Palmaghatt1,PM1_TSCA_FINAL,TSCA,,
41.705475,-74.2484667,Palmaghatt2,PM2_TSCA_July2012,TSCA,,
34.357419,-87.427427,SIPSEY WILDERNESS,SipseyTSCA,TSCA,,
