"Year","site_sp","ring_width","Location","Latitude","Longitude"
1811,"SCBI_QUPR",1.008,"SCBI","38.8935","-78.1454"
1812,"SCBI_QUAL",1.008,"SCBI","38.8935","-78.1454"
1812,"SCBI_QUPR",0.962,"SCBI","38.8935","-78.1454"
1813,"SCBI_QUAL",1.014,"SCBI","38.8935","-78.1454"
1813,"SCBI_QUPR",1.057,"SCBI","38.8935","-78.1454"
1814,"SCBI_QUAL",0.988,"SCBI","38.8935","-78.1454"
1814,"SCBI_QUPR",1.223,"SCBI","38.8935","-78.1454"
1815,"SCBI_QUAL",0.915,"SCBI","38.8935","-78.1454"
1815,"SCBI_QUPR",1.095,"SCBI","38.8935","-78.1454"
1816,"SCBI_QUAL",1.093,"SCBI","38.8935","-78.1454"
1816,"SCBI_QUPR",1.036,"SCBI","38.8935","-78.1454"
1817,"SCBI_QUAL",0.977,"SCBI","38.8935","-78.1454"
1817,"SCBI_QUPR",0.954,"SCBI","38.8935","-78.1454"
1818,"SCBI_QUAL",1.046,"SCBI","38.8935","-78.1454"
1818,"SCBI_QUPR",0.881,"SCBI","38.8935","-78.1454"
1819,"SCBI_QUAL",0.885,"SCBI","38.8935","-78.1454"
1819,"SCBI_QUPR",1.126,"SCBI","38.8935","-78.1454"
1820,"SCBI_QUAL",0.849,"SCBI","38.8935","-78.1454"
1820,"SCBI_QUPR",1.035,"SCBI","38.8935","-78.1454"
1821,"SCBI_QUAL",1.036,"SCBI","38.8935","-78.1454"
1821,"SCBI_QUPR",0.979,"SCBI","38.8935","-78.1454"
1822,"SCBI_QUAL",1,"SCBI","38.8935","-78.1454"
1822,"SCBI_QUPR",0.849,"SCBI","38.8935","-78.1454"
1823,"SCBI_QUAL",0.924,"SCBI","38.8935","-78.1454"
1823,"SCBI_QUPR",0.808,"SCBI","38.8935","-78.1454"
1824,"SCBI_QUAL",0.806,"SCBI","38.8935","-78.1454"
1824,"SCBI_QUPR",1.043,"SCBI","38.8935","-78.1454"
1824,"SCBI_QUVE",1.06,"SCBI","38.8935","-78.1454"
1825,"SCBI_QUAL",1,"SCBI","38.8935","-78.1454"
1825,"SCBI_QUPR",0.996,"SCBI","38.8935","-78.1454"
1825,"SCBI_QUVE",0.911,"SCBI","38.8935","-78.1454"
1826,"SCBI_QUAL",0.975,"SCBI","38.8935","-78.1454"
1826,"SCBI_QUPR",0.835,"SCBI","38.8935","-78.1454"
1826,"SCBI_QUVE",0.707,"SCBI","38.8935","-78.1454"
1827,"SCBI_QUAL",1.103,"SCBI","38.8935","-78.1454"
1827,"SCBI_QUPR",0.83,"SCBI","38.8935","-78.1454"
1827,"SCBI_QUVE",1.069,"SCBI","38.8935","-78.1454"
1828,"SCBI_QUAL",0.784,"SCBI","38.8935","-78.1454"
1828,"SCBI_QUPR",1.151,"SCBI","38.8935","-78.1454"
1828,"SCBI_QUVE",0.994,"SCBI","38.8935","-78.1454"
1829,"SCBI_QUAL",0.958,"SCBI","38.8935","-78.1454"
1829,"SCBI_QUPR",0.889,"SCBI","38.8935","-78.1454"
1829,"SCBI_QUVE",0.947,"SCBI","38.8935","-78.1454"
1830,"SCBI_QUAL",1.187,"SCBI","38.8935","-78.1454"
1830,"SCBI_QUPR",1.223,"SCBI","38.8935","-78.1454"
1830,"SCBI_QUVE",1.173,"SCBI","38.8935","-78.1454"
1831,"SCBI_QUAL",0.857,"SCBI","38.8935","-78.1454"
1831,"SCBI_QUPR",0.63,"SCBI","38.8935","-78.1454"
1831,"SCBI_QUVE",1.113,"SCBI","38.8935","-78.1454"
1832,"SCBI_QUAL",1.131,"SCBI","38.8935","-78.1454"
1832,"SCBI_QUPR",0.894,"SCBI","38.8935","-78.1454"
1832,"SCBI_QUVE",1.117,"SCBI","38.8935","-78.1454"
1833,"SCBI_QUAL",1.069,"SCBI","38.8935","-78.1454"
1833,"SCBI_QUPR",1.075,"SCBI","38.8935","-78.1454"
1833,"SCBI_QUVE",1.116,"SCBI","38.8935","-78.1454"
1834,"SCBI_QUAL",0.926,"SCBI","38.8935","-78.1454"
1834,"SCBI_QUPR",0.98,"SCBI","38.8935","-78.1454"
1834,"SCBI_QUVE",0.886,"SCBI","38.8935","-78.1454"
1835,"SCBI_QUAL",1.136,"SCBI","38.8935","-78.1454"
1835,"SCBI_QUPR",0.846,"SCBI","38.8935","-78.1454"
1835,"SCBI_QUVE",0.911,"SCBI","38.8935","-78.1454"
1836,"SCBI_QUAL",0.742,"SCBI","38.8935","-78.1454"
1836,"SCBI_QUPR",0.992,"SCBI","38.8935","-78.1454"
1836,"SCBI_QUVE",1.107,"SCBI","38.8935","-78.1454"
1837,"SCBI_QUAL",1.201,"SCBI","38.8935","-78.1454"
1837,"SCBI_QUPR",0.911,"SCBI","38.8935","-78.1454"
1837,"SCBI_QUVE",1.085,"SCBI","38.8935","-78.1454"
1838,"SCBI_QUAL",0.793,"SCBI","38.8935","-78.1454"
1838,"SCBI_QUPR",0.939,"SCBI","38.8935","-78.1454"
1838,"SCBI_QUVE",0.901,"SCBI","38.8935","-78.1454"
1839,"SCBI_QUAL",0.915,"SCBI","38.8935","-78.1454"
1839,"SCBI_QUPR",0.953,"SCBI","38.8935","-78.1454"
1839,"SCBI_QUVE",0.966,"SCBI","38.8935","-78.1454"
1840,"SCBI_QUAL",1.001,"SCBI","38.8935","-78.1454"
1840,"SCBI_QUPR",0.996,"SCBI","38.8935","-78.1454"
1840,"SCBI_QUVE",1.226,"SCBI","38.8935","-78.1454"
1841,"SCBI_QUAL",1.121,"SCBI","38.8935","-78.1454"
1841,"SCBI_QUPR",1.066,"SCBI","38.8935","-78.1454"
1841,"SCBI_QUVE",0.864,"SCBI","38.8935","-78.1454"
1842,"SCBI_QUAL",1.078,"SCBI","38.8935","-78.1454"
1842,"SCBI_QUPR",1.036,"SCBI","38.8935","-78.1454"
1842,"SCBI_QUVE",0.999,"SCBI","38.8935","-78.1454"
1843,"SCBI_QUAL",0.984,"SCBI","38.8935","-78.1454"
1843,"SCBI_QUPR",0.804,"SCBI","38.8935","-78.1454"
1843,"SCBI_QUVE",0.985,"SCBI","38.8935","-78.1454"
1844,"SCBI_QUAL",1.159,"SCBI","38.8935","-78.1454"
1844,"SCBI_QUPR",0.974,"SCBI","38.8935","-78.1454"
1844,"SCBI_QUVE",0.964,"SCBI","38.8935","-78.1454"
1845,"SCBI_QUAL",0.914,"SCBI","38.8935","-78.1454"
1845,"SCBI_QUPR",0.972,"SCBI","38.8935","-78.1454"
1845,"SCBI_QUVE",0.844,"SCBI","38.8935","-78.1454"
1846,"SCBI_QUAL",1.005,"SCBI","38.8935","-78.1454"
1846,"SCBI_QUPR",1.008,"SCBI","38.8935","-78.1454"
1846,"SCBI_QUVE",1.247,"SCBI","38.8935","-78.1454"
1847,"SCBI_QUAL",1.032,"SCBI","38.8935","-78.1454"
1847,"SCBI_QUPR",0.837,"SCBI","38.8935","-78.1454"
1847,"SCBI_QUVE",0.953,"SCBI","38.8935","-78.1454"
1848,"SCBI_QUAL",0.927,"SCBI","38.8935","-78.1454"
1848,"SCBI_QUPR",0.946,"SCBI","38.8935","-78.1454"
1848,"SCBI_QUVE",0.965,"SCBI","38.8935","-78.1454"
1849,"SCBI_QUAL",0.985,"SCBI","38.8935","-78.1454"
1849,"SCBI_QUPR",0.958,"SCBI","38.8935","-78.1454"
1849,"SCBI_QUVE",1.131,"SCBI","38.8935","-78.1454"
1850,"SCBI_QUAL",0.927,"SCBI","38.8935","-78.1454"
1850,"SCBI_QUPR",0.905,"SCBI","38.8935","-78.1454"
1850,"SCBI_QUVE",0.931,"SCBI","38.8935","-78.1454"
1851,"SCBI_QUAL",1.153,"SCBI","38.8935","-78.1454"
1851,"SCBI_QUPR",0.903,"SCBI","38.8935","-78.1454"
1851,"SCBI_QUVE",1.038,"SCBI","38.8935","-78.1454"
1852,"SCBI_QUAL",0.967,"SCBI","38.8935","-78.1454"
1852,"SCBI_QUPR",1.077,"SCBI","38.8935","-78.1454"
1852,"SCBI_QUVE",1.08,"SCBI","38.8935","-78.1454"
1853,"SCBI_QUAL",0.945,"SCBI","38.8935","-78.1454"
1853,"SCBI_QUPR",1.06,"SCBI","38.8935","-78.1454"
1853,"SCBI_QUVE",0.881,"SCBI","38.8935","-78.1454"
1854,"SCBI_QUAL",0.907,"SCBI","38.8935","-78.1454"
1854,"SCBI_QUPR",1.45,"SCBI","38.8935","-78.1454"
1854,"SCBI_QUVE",0.745,"SCBI","38.8935","-78.1454"
1855,"SCBI_QUAL",0.836,"SCBI","38.8935","-78.1454"
1855,"SCBI_QUPR",1.476,"SCBI","38.8935","-78.1454"
1855,"SCBI_QUVE",1.01,"SCBI","38.8935","-78.1454"
1856,"SCBI_QUAL",0.728,"SCBI","38.8935","-78.1454"
1856,"SCBI_QUPR",0.872,"SCBI","38.8935","-78.1454"
1856,"SCBI_QUVE",0.872,"SCBI","38.8935","-78.1454"
1857,"SCBI_QUAL",0.9,"SCBI","38.8935","-78.1454"
1857,"SCBI_QUPR",1.073,"SCBI","38.8935","-78.1454"
1857,"SCBI_QUVE",1.107,"SCBI","38.8935","-78.1454"
1858,"SCBI_QUAL",0.863,"SCBI","38.8935","-78.1454"
1858,"SCBI_QUPR",1.004,"SCBI","38.8935","-78.1454"
1858,"SCBI_QUVE",0.872,"SCBI","38.8935","-78.1454"
1859,"SCBI_QUAL",0.886,"SCBI","38.8935","-78.1454"
1859,"SCBI_QUPR",1.08,"SCBI","38.8935","-78.1454"
1859,"SCBI_QUVE",0.986,"SCBI","38.8935","-78.1454"
1860,"SCBI_QUAL",0.935,"SCBI","38.8935","-78.1454"
1860,"SCBI_QUPR",0.964,"SCBI","38.8935","-78.1454"
1860,"SCBI_QUVE",0.971,"SCBI","38.8935","-78.1454"
1861,"SCBI_QUAL",0.813,"SCBI","38.8935","-78.1454"
1861,"SCBI_QUPR",1.081,"SCBI","38.8935","-78.1454"
1861,"SCBI_QUVE",1,"SCBI","38.8935","-78.1454"
1862,"SCBI_QUAL",1.024,"SCBI","38.8935","-78.1454"
1862,"SCBI_QUPR",1.013,"SCBI","38.8935","-78.1454"
1862,"SCBI_QUVE",1.016,"SCBI","38.8935","-78.1454"
1863,"SCBI_QUAL",1.112,"SCBI","38.8935","-78.1454"
1863,"SCBI_QUPR",1.329,"SCBI","38.8935","-78.1454"
1863,"SCBI_QUVE",0.93,"SCBI","38.8935","-78.1454"
1864,"SCBI_QUAL",0.966,"SCBI","38.8935","-78.1454"
1864,"SCBI_QUPR",0.926,"SCBI","38.8935","-78.1454"
1864,"SCBI_QUVE",0.782,"SCBI","38.8935","-78.1454"
1865,"SCBI_QUAL",1.035,"SCBI","38.8935","-78.1454"
1865,"SCBI_QUPR",1.039,"SCBI","38.8935","-78.1454"
1865,"SCBI_QUVE",1.084,"SCBI","38.8935","-78.1454"
1866,"SCBI_QUAL",0.967,"SCBI","38.8935","-78.1454"
1866,"SCBI_QUPR",1.03,"SCBI","38.8935","-78.1454"
1866,"SCBI_QUVE",0.895,"SCBI","38.8935","-78.1454"
1867,"SCBI_QUAL",0.997,"SCBI","38.8935","-78.1454"
1867,"SCBI_QUPR",0.889,"SCBI","38.8935","-78.1454"
1867,"SCBI_QUVE",0.928,"SCBI","38.8935","-78.1454"
1868,"SCBI_CAGL",0.89,"SCBI","38.8935","-78.1454"
1868,"SCBI_CATO",0.992,"SCBI","38.8935","-78.1454"
1868,"SCBI_QUAL",1.104,"SCBI","38.8935","-78.1454"
1868,"SCBI_QUPR",0.901,"SCBI","38.8935","-78.1454"
1868,"SCBI_QUVE",0.932,"SCBI","38.8935","-78.1454"
1869,"SCBI_CAGL",1.117,"SCBI","38.8935","-78.1454"
1869,"SCBI_CATO",1.262,"SCBI","38.8935","-78.1454"
1869,"SCBI_FRAM",1.038,"SCBI","38.8935","-78.1454"
1869,"SCBI_QUAL",1.077,"SCBI","38.8935","-78.1454"
1869,"SCBI_QUPR",1.123,"SCBI","38.8935","-78.1454"
1869,"SCBI_QUVE",1.213,"SCBI","38.8935","-78.1454"
1870,"SCBI_CAGL",0.883,"SCBI","38.8935","-78.1454"
1870,"SCBI_CATO",0.931,"SCBI","38.8935","-78.1454"
1870,"SCBI_FRAM",0.75,"SCBI","38.8935","-78.1454"
1870,"SCBI_QUAL",0.893,"SCBI","38.8935","-78.1454"
1870,"SCBI_QUPR",1.123,"SCBI","38.8935","-78.1454"
1870,"SCBI_QUVE",0.991,"SCBI","38.8935","-78.1454"
1871,"SCBI_CAGL",0.81,"SCBI","38.8935","-78.1454"
1871,"SCBI_CATO",0.659,"SCBI","38.8935","-78.1454"
1871,"SCBI_FRAM",1.109,"SCBI","38.8935","-78.1454"
1871,"SCBI_FRNI",1.012,"SCBI","38.8935","-78.1454"
1871,"SCBI_LITU",0.971,"SCBI","38.8935","-78.1454"
1871,"SCBI_QUAL",1.002,"SCBI","38.8935","-78.1454"
1871,"SCBI_QUPR",0.751,"SCBI","38.8935","-78.1454"
1871,"SCBI_QUVE",0.992,"SCBI","38.8935","-78.1454"
1872,"SCBI_CAGL",1.068,"SCBI","38.8935","-78.1454"
1872,"SCBI_CATO",0.893,"SCBI","38.8935","-78.1454"
1872,"SCBI_FRAM",1.026,"SCBI","38.8935","-78.1454"
1872,"SCBI_FRNI",1.104,"SCBI","38.8935","-78.1454"
1872,"SCBI_LITU",0.831,"SCBI","38.8935","-78.1454"
1872,"SCBI_QUAL",1.049,"SCBI","38.8935","-78.1454"
1872,"SCBI_QUPR",1.131,"SCBI","38.8935","-78.1454"
1872,"SCBI_QUVE",0.733,"SCBI","38.8935","-78.1454"
1873,"SCBI_CAGL",1.092,"SCBI","38.8935","-78.1454"
1873,"SCBI_CATO",0.78,"SCBI","38.8935","-78.1454"
1873,"SCBI_FRAM",0.963,"SCBI","38.8935","-78.1454"
1873,"SCBI_FRNI",1.108,"SCBI","38.8935","-78.1454"
1873,"SCBI_LITU",1.011,"SCBI","38.8935","-78.1454"
1873,"SCBI_QUAL",0.926,"SCBI","38.8935","-78.1454"
1873,"SCBI_QUPR",0.877,"SCBI","38.8935","-78.1454"
1873,"SCBI_QUVE",0.93,"SCBI","38.8935","-78.1454"
1874,"SCBI_CAGL",0.88,"SCBI","38.8935","-78.1454"
1874,"SCBI_CATO",0.981,"SCBI","38.8935","-78.1454"
1874,"SCBI_FRAM",1.034,"SCBI","38.8935","-78.1454"
1874,"SCBI_FRNI",0.848,"SCBI","38.8935","-78.1454"
1874,"SCBI_LITU",1.007,"SCBI","38.8935","-78.1454"
1874,"SCBI_QUAL",0.916,"SCBI","38.8935","-78.1454"
1874,"SCBI_QUPR",0.826,"SCBI","38.8935","-78.1454"
1874,"SCBI_QUVE",0.852,"SCBI","38.8935","-78.1454"
1875,"SCBI_CAGL",0.999,"SCBI","38.8935","-78.1454"
1875,"SCBI_CATO",1.044,"SCBI","38.8935","-78.1454"
1875,"SCBI_FRAM",0.92,"SCBI","38.8935","-78.1454"
1875,"SCBI_FRNI",0.981,"SCBI","38.8935","-78.1454"
1875,"SCBI_LITU",0.832,"SCBI","38.8935","-78.1454"
1875,"SCBI_QUAL",1.021,"SCBI","38.8935","-78.1454"
1875,"SCBI_QUPR",1.012,"SCBI","38.8935","-78.1454"
1875,"SCBI_QUVE",1.022,"SCBI","38.8935","-78.1454"
1876,"SCBI_CAGL",1.056,"SCBI","38.8935","-78.1454"
1876,"SCBI_CATO",1.343,"SCBI","38.8935","-78.1454"
1876,"SCBI_FRAM",1.071,"SCBI","38.8935","-78.1454"
1876,"SCBI_FRNI",0.935,"SCBI","38.8935","-78.1454"
1876,"SCBI_LITU",0.863,"SCBI","38.8935","-78.1454"
1876,"SCBI_QUAL",0.98,"SCBI","38.8935","-78.1454"
1876,"SCBI_QUPR",1.105,"SCBI","38.8935","-78.1454"
1876,"SCBI_QUVE",0.838,"SCBI","38.8935","-78.1454"
1877,"SCBI_CAGL",0.933,"SCBI","38.8935","-78.1454"
1877,"SCBI_CATO",0.911,"SCBI","38.8935","-78.1454"
1877,"SCBI_FRAM",0.839,"SCBI","38.8935","-78.1454"
1877,"SCBI_FRNI",0.808,"SCBI","38.8935","-78.1454"
1877,"SCBI_LITU",1.235,"SCBI","38.8935","-78.1454"
1877,"SCBI_QUAL",0.886,"SCBI","38.8935","-78.1454"
1877,"SCBI_QUPR",0.909,"SCBI","38.8935","-78.1454"
1877,"SCBI_QURU",1.012,"SCBI","38.8935","-78.1454"
1877,"SCBI_QUVE",0.93,"SCBI","38.8935","-78.1454"
1878,"SCBI_CAGL",1.177,"SCBI","38.8935","-78.1454"
1878,"SCBI_CATO",0.771,"SCBI","38.8935","-78.1454"
1878,"SCBI_FRAM",1.05,"SCBI","38.8935","-78.1454"
1878,"SCBI_FRNI",1.105,"SCBI","38.8935","-78.1454"
1878,"SCBI_LITU",1.272,"SCBI","38.8935","-78.1454"
1878,"SCBI_QUAL",1.041,"SCBI","38.8935","-78.1454"
1878,"SCBI_QUPR",1.229,"SCBI","38.8935","-78.1454"
1878,"SCBI_QURU",0.955,"SCBI","38.8935","-78.1454"
1878,"SCBI_QUVE",0.887,"SCBI","38.8935","-78.1454"
1879,"SCBI_CAGL",0.967,"SCBI","38.8935","-78.1454"
1879,"SCBI_CATO",1.124,"SCBI","38.8935","-78.1454"
1879,"SCBI_FRAM",0.957,"SCBI","38.8935","-78.1454"
1879,"SCBI_FRNI",0.785,"SCBI","38.8935","-78.1454"
1879,"SCBI_LITU",1.256,"SCBI","38.8935","-78.1454"
1879,"SCBI_QUAL",0.927,"SCBI","38.8935","-78.1454"
1879,"SCBI_QUPR",0.881,"SCBI","38.8935","-78.1454"
1879,"SCBI_QURU",0.959,"SCBI","38.8935","-78.1454"
1879,"SCBI_QUVE",0.922,"SCBI","38.8935","-78.1454"
1880,"SCBI_CAGL",1.224,"SCBI","38.8935","-78.1454"
1880,"SCBI_CATO",0.831,"SCBI","38.8935","-78.1454"
1880,"SCBI_FRAM",0.779,"SCBI","38.8935","-78.1454"
1880,"SCBI_FRNI",1.435,"SCBI","38.8935","-78.1454"
1880,"SCBI_JUNI",0.874,"SCBI","38.8935","-78.1454"
1880,"SCBI_LITU",1.019,"SCBI","38.8935","-78.1454"
1880,"SCBI_QUAL",0.826,"SCBI","38.8935","-78.1454"
1880,"SCBI_QUPR",0.951,"SCBI","38.8935","-78.1454"
1880,"SCBI_QURU",0.988,"SCBI","38.8935","-78.1454"
1880,"SCBI_QUVE",0.742,"SCBI","38.8935","-78.1454"
1881,"SCBI_CAGL",0.876,"SCBI","38.8935","-78.1454"
1881,"SCBI_CATO",0.996,"SCBI","38.8935","-78.1454"
1881,"SCBI_FRAM",1.165,"SCBI","38.8935","-78.1454"
1881,"SCBI_FRNI",0.794,"SCBI","38.8935","-78.1454"
1881,"SCBI_JUNI",0.928,"SCBI","38.8935","-78.1454"
1881,"SCBI_LITU",0.91,"SCBI","38.8935","-78.1454"
1881,"SCBI_QUAL",1.007,"SCBI","38.8935","-78.1454"
1881,"SCBI_QUPR",0.996,"SCBI","38.8935","-78.1454"
1881,"SCBI_QURU",1.045,"SCBI","38.8935","-78.1454"
1881,"SCBI_QUVE",1.149,"SCBI","38.8935","-78.1454"
1882,"SCBI_CAGL",1.023,"SCBI","38.8935","-78.1454"
1882,"SCBI_CATO",0.939,"SCBI","38.8935","-78.1454"
1882,"SCBI_FRAM",1.011,"SCBI","38.8935","-78.1454"
1882,"SCBI_FRNI",1.031,"SCBI","38.8935","-78.1454"
1882,"SCBI_JUNI",0.829,"SCBI","38.8935","-78.1454"
1882,"SCBI_LITU",0.993,"SCBI","38.8935","-78.1454"
1882,"SCBI_QUAL",1.04,"SCBI","38.8935","-78.1454"
1882,"SCBI_QUPR",1.105,"SCBI","38.8935","-78.1454"
1882,"SCBI_QURU",1.054,"SCBI","38.8935","-78.1454"
1882,"SCBI_QUVE",0.784,"SCBI","38.8935","-78.1454"
1883,"SCBI_CAGL",1.047,"SCBI","38.8935","-78.1454"
1883,"SCBI_CATO",0.836,"SCBI","38.8935","-78.1454"
1883,"SCBI_FRAM",0.967,"SCBI","38.8935","-78.1454"
1883,"SCBI_FRNI",0.907,"SCBI","38.8935","-78.1454"
1883,"SCBI_JUNI",0.727,"SCBI","38.8935","-78.1454"
1883,"SCBI_LITU",0.974,"SCBI","38.8935","-78.1454"
1883,"SCBI_QUAL",0.967,"SCBI","38.8935","-78.1454"
1883,"SCBI_QUPR",1.004,"SCBI","38.8935","-78.1454"
1883,"SCBI_QURU",1.122,"SCBI","38.8935","-78.1454"
1883,"SCBI_QUVE",1.073,"SCBI","38.8935","-78.1454"
1884,"SCBI_CAGL",0.924,"SCBI","38.8935","-78.1454"
1884,"SCBI_CAOL",0.811,"SCBI","38.8935","-78.1454"
1884,"SCBI_CATO",0.978,"SCBI","38.8935","-78.1454"
1884,"SCBI_FRAM",1.016,"SCBI","38.8935","-78.1454"
1884,"SCBI_FRNI",1.013,"SCBI","38.8935","-78.1454"
1884,"SCBI_JUNI",0.921,"SCBI","38.8935","-78.1454"
1884,"SCBI_LITU",0.941,"SCBI","38.8935","-78.1454"
1884,"SCBI_QUAL",0.984,"SCBI","38.8935","-78.1454"
1884,"SCBI_QUPR",1.076,"SCBI","38.8935","-78.1454"
1884,"SCBI_QURU",1.003,"SCBI","38.8935","-78.1454"
1884,"SCBI_QUVE",0.94,"SCBI","38.8935","-78.1454"
1885,"SCBI_CAGL",0.979,"SCBI","38.8935","-78.1454"
1885,"SCBI_CAOL",0.995,"SCBI","38.8935","-78.1454"
1885,"SCBI_CATO",0.928,"SCBI","38.8935","-78.1454"
1885,"SCBI_FRAM",0.897,"SCBI","38.8935","-78.1454"
1885,"SCBI_FRNI",0.894,"SCBI","38.8935","-78.1454"
1885,"SCBI_JUNI",0.957,"SCBI","38.8935","-78.1454"
1885,"SCBI_LITU",0.949,"SCBI","38.8935","-78.1454"
1885,"SCBI_QUAL",0.905,"SCBI","38.8935","-78.1454"
1885,"SCBI_QUPR",0.906,"SCBI","38.8935","-78.1454"
1885,"SCBI_QURU",0.903,"SCBI","38.8935","-78.1454"
1885,"SCBI_QUVE",0.999,"SCBI","38.8935","-78.1454"
1886,"SCBI_CAGL",1.015,"SCBI","38.8935","-78.1454"
1886,"SCBI_CAOL",0.951,"SCBI","38.8935","-78.1454"
1886,"SCBI_CATO",0.873,"SCBI","38.8935","-78.1454"
1886,"SCBI_FRAM",1.125,"SCBI","38.8935","-78.1454"
1886,"SCBI_FRNI",0.929,"SCBI","38.8935","-78.1454"
1886,"SCBI_JUNI",0.809,"SCBI","38.8935","-78.1454"
1886,"SCBI_LITU",0.848,"SCBI","38.8935","-78.1454"
1886,"SCBI_QUAL",1.007,"SCBI","38.8935","-78.1454"
1886,"SCBI_QUPR",1.142,"SCBI","38.8935","-78.1454"
1886,"SCBI_QURU",1.076,"SCBI","38.8935","-78.1454"
1886,"SCBI_QUVE",0.873,"SCBI","38.8935","-78.1454"
1887,"SCBI_CAGL",1.006,"SCBI","38.8935","-78.1454"
1887,"SCBI_CAOL",1.02,"SCBI","38.8935","-78.1454"
1887,"SCBI_CATO",1.006,"SCBI","38.8935","-78.1454"
1887,"SCBI_FAGR",0.93,"SCBI","38.8935","-78.1454"
1887,"SCBI_FRAM",0.936,"SCBI","38.8935","-78.1454"
1887,"SCBI_FRNI",1.165,"SCBI","38.8935","-78.1454"
1887,"SCBI_JUNI",0.942,"SCBI","38.8935","-78.1454"
1887,"SCBI_LITU",0.985,"SCBI","38.8935","-78.1454"
1887,"SCBI_QUAL",0.92,"SCBI","38.8935","-78.1454"
1887,"SCBI_QUPR",0.924,"SCBI","38.8935","-78.1454"
1887,"SCBI_QURU",0.931,"SCBI","38.8935","-78.1454"
1887,"SCBI_QUVE",0.894,"SCBI","38.8935","-78.1454"
1888,"SCBI_CAGL",0.952,"SCBI","38.8935","-78.1454"
1888,"SCBI_CAOL",0.942,"SCBI","38.8935","-78.1454"
1888,"SCBI_CATO",1.146,"SCBI","38.8935","-78.1454"
1888,"SCBI_FAGR",0.847,"SCBI","38.8935","-78.1454"
1888,"SCBI_FRAM",0.982,"SCBI","38.8935","-78.1454"
1888,"SCBI_FRNI",0.956,"SCBI","38.8935","-78.1454"
1888,"SCBI_JUNI",0.936,"SCBI","38.8935","-78.1454"
